Nombre	Código	Categoría	Costo Neto	Precio Venta	Unidades x Bulto	Stock Mínimo
1/2 de helado	-	Personalizados	0	7500	1	5
1/4 de helado	-	Personalizados	0	4500	1	5
1kg de helado	-	Personalizados	0	13000	1	5
Affogato	-	Cafetería	0	3500	1	5
Alfajor Blanco caja x8	7798138004818	Linea Hogareña	0	12500	1	5
Alfajor de Maizena	-	Cafetería	0	1500	1	5
Alfajor Helado Blanco Unidad	7798138004320	Impulsivos	0	1600	1	5
Alfajor Helado Chocolate caja x8	7798138004801	Linea Hogareña	0	12500	1	5
Alfajor Helado Chocolate Unidad	7798138002104	Gastronomía	0	1600	16	5
Almendrado caja x8	7798138004597	Linea Hogareña	0	10500	6	5
Almendrado unidad	-	Gastronomía	0	1400	20	5
Balde 3L (Americana/DDl/Frutilla)	7798138004665	Baldes y potes	0	14000	1	5
Balde 3L (Banana/ Flan /Granizado)	7798138004658	Baldes y potes	0	14000	1	5
Balde 3L (Chocolate/Frutilla/DDl)	-	Baldes y potes	0	14000	1	5
Balde 3L (Tiram/ddl/tram)	-	Baldes y potes	0	14000	1	5
Brownie	-	Cafetería	0	3000	1	5
porcion torta matilda/ red velvet/ cvhesse cake	-	Tortas	0	4000	1	5
Postre Tricolor caja x8	7798138000346	Linea Hogareña	0	10500	6	5
Postre Tricolor Unidad	7798138002456	Gastronomía	0	1400	20	5
Pote 1 Kg	-	Insumos	0	0	1	20
Pote 1 Kg (Telgopor)	-	Insumos (Bolsas, Vasos, Cucharas)	0	200	1	20
Pote 1/2 Kg	-	Insumos	0	0	1	20
Pote 1/2 Kg (Telgopor)	-	Insumos (Bolsas, Vasos, Cucharas)	0	200	1	20
Pote 1/4 Kg	-	Insumos	0	0	1	20
Pote 1/4 Kg (Telgopor)	-	Insumos (Bolsas, Vasos, Cucharas)	0	200	1	20
Pote 750 Americana/Frutilla	7798138004702	Baldes y potes	0	7500	8	5
Pote 750 Chocolate/Dulce de leche	7798138004696	Baldes y potes	0	7500	8	5
Pote 750 Crema Cookies	7798138004504	Baldes y potes	0	7500	8	5
Pote 750 D d leche Granizado	7798138004511	Baldes y potes	0	7500	8	5
Pote 750 Frutilla a la Crema	7798138004498	Baldes y potes	0	7500	8	5
Pote 750 Limón	7798138000728	Baldes y potes	0	7500	8	5
Pote 750 Super Chocolate	7798138004528	Baldes y potes	0	7500	8	5
POTE CORMILLOT Vai/Choc 360cc	7798138005051	Impulsivos	0	6000	12	5
Avocado	-	Cafetería	0	4000	1	5
Balde 3L 4 gustos (Americana/DDl/Chocolate/Frutilla)	7798138004672	Baldes y potes	0	14000	1	5
Balde 3L Nipote (Granizado/Chocolate/DDl/Flan)	7798138003910	Baldes y potes	0	14000	1	5
Balde 5L ( Americana/DDL/Frutilla)	7798138002524	Baldes y potes	0	19500	1	5
Balde 5L (banana, flan y granizado)	7798138004382	Baldes y potes	0	19500	1	5
Balde 5L 4 gustos (americana/DDL/chocolate/frutilla)	7798138004412	Baldes y potes	0	19500	1	5
Balde 5L Nipote (Granizado/Chocolate/DDl/Flan)	7798138004573	Baldes y potes	0	19500	1	5
Banana split	-	Cafetería	0	5000	1	5
Baño de chocolate	-	Personalizados	0	500	1	5
barra de cereal	-	Cafetería	0	2500	1	5
Barrita Seichoc banana split	7798138003927	Gastronomía	0	1600	1	5
